OrderID,CustomerName,City,Category,Quantity,UnitPrice,OrderDate,SalesRep
1001,Alice,Delhi,Electronics,2,15000,2024-01-15,Raj
1002,Bob,Mumbai,Clothing,5,800,2024-01-20,Priya
1003,Charlie,Delhi,Electronics,1,25000,2024-02-10,Raj
1004,,Bangalore,Furniture,3,12000,2024-02-14,Amit
1005,Eve,Mumbai,Clothing,2,1500,2024-03-05,Priya
1006,Frank,Delhi,Electronics,4,8000,2024-03-18,Raj
1007,Bob,Mumbai,Clothing,5,800,2024-01-20,Priya
1008,Grace,Bangalore,Furniture,1,22000,2024-04-02,Amit
1009,Heidi,Delhi,,2,5000,2024-04-15,Raj
1010,Ivan,Mumbai,Electronics,3,18000,2024-05-01,Priya
1011,Alice,Delhi,Electronics,2,15000,2024-01-15,Raj
